产品类型,资产大类,字段,字段类型,字段含义,值域,特殊规则
COMMSWAP,商品,FRTB_COMM_LOCATION,字符串,,,
COMMSWAP,商品,FWD_SETTLE_DATE,日期,,,
COMMSWAP,商品,FWD_STRIKE,浮点数,,,
COMMSWAP,商品,INSTRUMENT_ID,字符串,交易编号,,
COMMSWAP,商品,PRICE_CURVE,字符串,价格曲线,,
COMMSWAP,商品,PRODUCT_CODE,字符串,产品代码,,
COMMSWAP,商品,SPOT_SETTLE_DATE,日期,,,
COMMSWAP,商品,SPOT_STRIKE,浮点数,,,
COMMSWAP,商品,STRIKE_CURRENCY_CODE,字符串,,,
COMMSWAP,商品,TRADE_DATE,日期,交易日,,yyyyMMdd
COMMSWAP,商品,UNDERLYING_CODE,字符串,标的代码,,
COMM_AUTO_CALL,商品,BARRIER,浮点数,障碍价,,
COMM_AUTO_CALL,商品,BARRIER_DIRECTION,字符串,障碍方向,Up/Down,
COMM_AUTO_CALL,商品,BUY_OR_SELL,字符串,买卖方向,B/S,
COMM_AUTO_CALL,商品,CURRENCY_CODE,字符串,货币代码,,
COMM_AUTO_CALL,商品,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
COMM_AUTO_CALL,商品,FIXING_ID,字符串,定盘ID,,
COMM_AUTO_CALL,商品,INSTRUMENT_ID,字符串,交易编号,,
COMM_AUTO_CALL,商品,NOTIONAL,浮点数,名义金额,,非负有限数
COMM_AUTO_CALL,商品,OBS_DATE,字符串,观察日,,
COMM_AUTO_CALL,商品,PATH_FLAG,布尔,路径标志,,
COMM_AUTO_CALL,商品,PATH_NB,整数,模拟路径数,,
COMM_AUTO_CALL,商品,PAYOFF_RATE,浮点数,赔付率,,
COMM_AUTO_CALL,商品,PREMIUM_RATE,浮点数,溢价率,,
COMM_AUTO_CALL,商品,PRICE_CURVE,字符串,价格曲线,,
COMM_AUTO_CALL,商品,PRODUCT_CODE,字符串,产品代码,,
COMM_AUTO_CALL,商品,SETTLE_CALENDAR,字符串,结算日历,,
COMM_AUTO_CALL,商品,SETTLE_DATE,日期,结算日,,yyyyMMdd
COMM_AUTO_CALL,商品,SETTLE_DAYOFF,整数,结算休息日,,
COMM_AUTO_CALL,商品,SETTLE_RULE,字符串,结算规则,,
COMM_AUTO_CALL,商品,START_DATE,日期,起息日,,yyyyMMdd
COMM_AUTO_CALL,商品,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
COMM_BARRIER,商品,BASE_PAYOFF,浮点数,基础赔付,,
COMM_BARRIER,商品,BUY_OR_SELL,字符串,买卖方向,B/S,
COMM_BARRIER,商品,CONTRACT_SIZE,浮点数,合约乘数,,默认1
COMM_BARRIER,商品,CURRENCY_CODE,字符串,货币代码,,
COMM_BARRIER,商品,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
COMM_BARRIER,商品,DOWN_BARRIER,浮点数,下障碍价,,
COMM_BARRIER,商品,INSTRUMENT_ID,字符串,交易编号,,
COMM_BARRIER,商品,KNOCK_OUT_FLAG,字符串,敲出标志,,
COMM_BARRIER,商品,MATURITY_DATE,日期,到期日,,yyyyMMdd
COMM_BARRIER,商品,OPTION_TYPE,字符串,期权类型,Call/Put/Up/Down/Double,
COMM_BARRIER,商品,PAYOFF_LOWER,浮点数,下行赔付,,
COMM_BARRIER,商品,PRICE_CURVE,字符串,价格曲线,,
