产品类型,资产大类,字段,Java字段名,字段类型,字段含义,值域,特殊规则
COMMSWAP,商品,UNDERLYING_CODE,underlyingCode,字符串,标的代码,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,BUY_OR_SELL,buyOrSell,字符串,,B|S,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,CALL_OR_PUT,callOrPut,字符串,,CALL|PUT,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,CONTRACT_SIZE,contractSize,浮点数,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,CURRENCY_CODE,currencyCode,字符串,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,DISCOUNT_CURVE,discountCurve,字符串,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,FIXING_ID,fixingId,字符串,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,FRTB_COMM_ASSET,frtbCommAsset,字符串,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,FRTB_COMM_BUCKET,frtbCommBucket,字符串,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,FRTB_COMM_LOCATION,frtbCommLocation,字符串,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,INSTRUMENT_ID,instrumentId,字符串,,,数据域=TRADE；通用校验字段(存在时校验)
COMM_ASIAN,商品,MATURITY_DATE,maturityDate,日期,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,OBS_END_DATE,obsEndDate,日期,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,OBS_START_DATE,obsStartDate,日期,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,PRODUCT_CODE,productCode,字符串,,,数据域=TRADE；通用校验字段(存在时校验)
COMM_ASIAN,商品,REFERENCE_CURVE,referenceCurve,字符串,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,SETTLE_DATE,settleDate,日期,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,SETTLE_TYPE,settleType,字符串,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,STRIKE_PRICE,strikePrice,浮点数,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,UNDERLYING_CODE,underlyingCode,字符串,,,数据域=TRADE；必填(校验规则)
COMM_ASIAN,商品,VOLATILITY_SURFACE,volatilitySurface,字符串,,,数据域=TRADE；必填(校验规则)
COMM_BARRIER,商品,BASE_PAYOFF,basePayoff,浮点数,基础赔付,,
COMM_BARRIER,商品,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
COMM_BARRIER,商品,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1
COMM_BARRIER,商品,CURRENCY_CODE,currencyCode,字符串,货币代码,,
COMM_BARRIER,商品,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
COMM_BARRIER,商品,DOWN_BARRIER,downBarrierPrice,浮点数,下障碍价,,
COMM_BARRIER,商品,FRTB_COMM_ASSET,frtbCommAsset,字符串,,,
COMM_BARRIER,商品,FRTB_COMM_BUCKET,frtbCommBucket,字符串,,,
COMM_BARRIER,商品,FRTB_COMM_LOCATION,frtbCommLocation,字符串,,,
COMM_BARRIER,商品,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
COMM_BARRIER,商品,KNOCK_OUT_FLAG,knockOutFlag,字符串,敲出标志,,
COMM_BARRIER,商品,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
COMM_BARRIER,商品,OPTION_TYPE,optionType,字符串,期权类型,,
COMM_BARRIER,商品,PAYOFF_LOWER,payoffLower,浮点数,下行赔付,,
COMM_BARRIER,商品,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
COMM_BARRIER,商品,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,
COMM_BARRIER,商品,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
COMM_BARRIER,商品,TOUCH_BEFORE_FLAG,touchBeforeFlag,字符串,,,
COMM_BARRIER,商品,UNDERLYING_CODE,underlyingCode,字符串,,,
COMM_BARRIER,商品,UPPER_BARRIER,upBarrierPrice,浮点数,上障碍价,,
COMM_BARRIER,商品,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
COMM_BARRIER,商品,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
COMM_DIGITAL,商品,BASE_PAYOFF,basePayoff,浮点数,基础赔付,,
COMM_DIGITAL,商品,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
COMM_DIGITAL,商品,CALL_OR_PUT,callOrPut,字符串,看涨看跌,Call/Put,
COMM_DIGITAL,商品,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1
COMM_DIGITAL,商品,CURRENCY_CODE,currencyCode,字符串,货币代码,,
COMM_DIGITAL,商品,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
COMM_DIGITAL,商品,FRTB_COMM_ASSET,frtbCommAsset,字符串,,,
COMM_DIGITAL,商品,FRTB_COMM_BUCKET,frtbCommBucket,字符串,,,
COMM_DIGITAL,商品,FRTB_COMM_LOCATION,frtbCommLocation,字符串,,,
COMM_DIGITAL,商品,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
COMM_DIGITAL,商品,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
COMM_DIGITAL,商品,PAYOFF_LOWER,payoffLower,浮点数,下行赔付,,
COMM_DIGITAL,商品,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
COMM_DIGITAL,商品,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,
COMM_DIGITAL,商品,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
COMM_DIGITAL,商品,STRIKE_PRICE,strikePrice,浮点数,行权价,,正数
COMM_DIGITAL,商品,UNDERLYING_CODE,underlyingCode,字符串,,,
COMM_DIGITAL,商品,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
COMM_DIGITAL,商品,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
COMM_RANGE_ACCURE,商品,ABS_FLAG,absFlag,布尔,,,
COMM_RANGE_ACCURE,商品,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
COMM_RANGE_ACCURE,商品,CURRENCY_CODE,currencyCode,字符串,货币代码,,
COMM_RANGE_ACCURE,商品,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
COMM_RANGE_ACCURE,商品,EPS,eps,浮点数,,,
COMM_RANGE_ACCURE,商品,FIXING_ID,fixingId,字符串,定盘ID,,
COMM_RANGE_ACCURE,商品,FRTB_COMM_ASSET,frtbCommAsset,字符串,,,
COMM_RANGE_ACCURE,商品,FRTB_COMM_BUCKET,frtbCommBucket,字符串,,,
COMM_RANGE_ACCURE,商品,FRTB_COMM_LOCATION,frtbCommLocation,字符串,,,
COMM_RANGE_ACCURE,商品,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
COMM_RANGE_ACCURE,商品,LOWER_BARRIER,lowerBarrier,浮点数,下障碍,,
COMM_RANGE_ACCURE,商品,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
COMM_RANGE_ACCURE,商品,MODEL_TYPE,modelType,字符串,,CONST_VOL|LOCAL_VOL|HESTON,
COMM_RANGE_ACCURE,商品,NOTIONAL,notional,浮点数,名义金额,,非负有限数
COMM_RANGE_ACCURE,商品,OBS_DATES,obsDates,字符串,,,
COMM_RANGE_ACCURE,商品,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
COMM_RANGE_ACCURE,商品,RANGE_ACCURE_RATE,rangeAccureRate,浮点数,,,
COMM_RANGE_ACCURE,商品,RANGE_DIRECTION,rangeDirection,字符串,区间方向,,
COMM_RANGE_ACCURE,商品,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,
COMM_RANGE_ACCURE,商品,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
COMM_RANGE_ACCURE,商品,START_DATE,startDate,日期,起息日,,yyyyMMdd
COMM_RANGE_ACCURE,商品,UNDERLYING_CODE,underlyingCode,字符串,标的代码,,
COMM_RANGE_ACCURE,商品,UPPER_BARRIER,upperBarrier,浮点数,上障碍价,,
COMM_RANGE_ACCURE,商品,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
COMM_SHARKFIN,商品,BASE_RATE,baseRate,浮点数,基础收益率,,数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B|S,数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1；数据域=TRADE；默认值=1
COMM_SHARKFIN,商品,CURRENCY_CODE,currencyCode,字符串,货币代码,,数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
COMM_SHARKFIN,商品,DOWN_BARRIER,downBarrierPrice,浮点数,下障碍价,,数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,FIXING_ID,fixingId,字符串,定盘ID,,
